accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_highway,1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident
2018950000203,323670,672690,-3.223588,55.941169,95,3,2,1,05/02/2018,2,17:20:00,923,S12000036,3,70,6,20,3,4,6,0,0,0,4,9,1,0,0,1,2
2018950000204,326640,671360,-3.175689,55.929684,95,3,2,1,13/02/2018,3,11:10:00,923,S12000036,5,0,6,20,3,2,6,0,0,5,1,1,1,0,0,1,1
2018950000206,326120,670970,-3.183903,55.926101,95,3,3,1,13/02/2018,3,12:35:00,923,S12000036,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000207,322480,674960,-3.243287,55.961368,95,3,2,1,14/02/2018,4,18:10:00,923,S12000036,3,902,6,30,3,2,6,0,0,5,4,1,1,0,0,1,3
2018950000208,325150,675010,-3.200545,55.962241,95,3,2,2,14/02/2018,4,18:00:00,923,S12000036,5,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1
2018950000213,319370,672950,-3.292486,55.9428,95,3,2,1,13/02/2018,3,06:30:00,923,S12000036,3,8,6,20,0,-1,-1,0,0,0,4,9,1,0,0,1,1
2018950000216,326510,675070,-3.178782,55.96299,95,3,2,1,16/02/2018,6,17:15:00,923,S12000036,3,900,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000217,329190,668750,-3.134201,55.906621,95,3,3,1,17/02/2018,7,17:00:00,923,S12000036,3,7,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000219,317650,670610,-3.3193,55.92149,95,3,2,2,16/02/2018,6,11:22:00,923,S12000036,1,8,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1
2018950000220,327108,675824,-3.16941,55.969854,95,3,1,2,17/02/2018,7,18:05:00,923,S12000036,3,901,6,30,0,-1,-1,0,0,0,4,4,1,0,6,1,2
2018950000222,322617,671420,-3.240076,55.929592,95,2,1,1,17/02/2018,7,00:30:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1
2018950000223,314730,677150,-3.36808,55.979723,95,2,2,1,18/02/2018,1,21:08:00,923,S12000036,3,90,3,50,0,-1,-1,0,0,0,6,2,2,0,0,2,1
2018950000224,327090,675830,-3.1697,55.969905,95,3,2,1,19/02/2018,2,15:30:00,923,S12000036,6,0,6,20,9,4,-1,-1,0,8,1,1,1,0,0,1,1
2018950000228,327470,671410,-3.162422,55.930259,95,3,2,1,19/02/2018,2,22:56:00,923,S12000036,3,68,6,30,9,4,6,0,0,0,4,2,2,0,0,1,1
2018950000231,328700,673800,-3.143374,55.951912,95,3,1,1,20/02/2018,3,10:50:00,923,S12000036,6,0,6,20,8,4,6,0,0,0,1,1,1,0,0,1,1
2018950000233,320640,675160,-3.272811,55.962863,95,3,2,1,20/02/2018,3,11:15:00,923,S12000036,4,9085,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1
2018950000235,324470,674500,-3.211291,55.957553,95,3,2,1,18/02/2018,1,19:40:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,4,9,2,0,0,1,2
2018950000238,326930,674570,-3.171921,55.958563,95,3,2,1,21/02/2018,4,17:15:00,923,S12000036,5,0,6,20,9,4,6,0,0,0,1,1,1,0,0,1,1
2018950000239,324530,671170,-3.209397,55.927651,95,2,1,1,23/02/2018,6,08:25:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000240,322830,675430,-3.237818,55.965646,95,3,3,1,23/02/2018,6,13:25:00,923,S12000036,3,902,3,30,3,4,6,0,0,8,1,1,1,0,0,1,1
2018950000241,320030,669320,-3.280846,55.910304,95,3,2,4,22/02/2018,5,06:55:00,923,S12000036,3,720,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000244,318130,670890,-3.311707,55.924087,95,3,3,1,15/02/2018,5,13:00:00,923,S12000036,3,720,1,50,1,2,1,8,0,0,1,1,1,0,0,2,1
2018950000245,323520,674620,-3.226537,55.958481,95,3,2,1,21/02/2018,4,08:25:00,923,S12000036,4,900,6,30,1,4,5,0,0,4,1,1,1,0,0,1,1
2018950000248,327800,674110,-3.157866,55.954562,95,3,2,1,24/02/2018,7,10:35:00,923,S12000036,6,0,6,20,2,4,6,0,0,0,1,1,1,0,0,1,1
2018950000257,326110,673130,-3.184656,55.945502,95,3,2,1,21/02/2018,4,03:00:00,923,S12000036,3,7,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1
2018950000259,324910,672880,-3.203794,55.943071,95,2,2,1,26/02/2018,2,19:30:00,923,S12000036,3,702,6,20,3,4,6,0,0,5,4,4,1,0,0,1,1
2018950000265,330860,672910,-3.108564,55.944234,95,2,2,1,27/02/2018,3,17:30:00,923,S12000036,3,1,6,20,6,4,6,0,0,0,1,3,2,0,0,1,1
2018950000266,319400,672640,-3.291913,55.940021,95,3,2,1,27/02/2018,3,18:30:00,923,S12000036,5,0,6,20,7,2,6,0,0,4,4,3,4,0,0,1,1
2018950000269,323790,669240,-3.220691,55.910197,95,3,2,1,09/02/2018,6,13:00:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,4,1,0,0,1,1
2018950000277,325960,673550,-3.187172,55.949252,95,3,1,1,28/02/2018,4,08:10:00,923,S12000036,3,7,6,30,0,-1,-1,0,0,0,1,3,3,0,0,1,2
2018950000278,322010,675980,-3.25111,55.970453,95,2,1,1,02/03/2018,6,18:25:00,923,S12000036,5,0,3,30,6,4,6,0,0,1,4,3,2,0,0,1,1
2018950000280,328800,667030,-3.139985,55.891113,95,3,1,1,03/03/2018,7,22:00:00,923,S12000036,3,720,3,70,5,4,5,0,0,0,6,1,3,0,0,2,1
2018950000282,325780,673750,-3.190109,55.951021,95,3,1,1,27/02/2018,3,12:15:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,4,1,1,2,0,0,1,1
2018950000283,326960,674460,-3.17141,55.957579,95,3,1,1,03/03/2018,7,22:00:00,923,S12000036,3,1,2,20,0,-1,-1,0,0,0,4,8,2,0,0,1,1
2018950000284,326620,672020,-3.176189,55.935609,95,3,2,1,05/03/2018,2,07:50:00,923,S12000036,6,0,2,20,9,4,6,0,0,0,1,8,2,0,0,1,1
2018950000285,327220,671030,-3.16632,55.926808,95,3,1,1,28/02/2018,4,22:05:00,923,S12000036,6,0,3,30,0,-1,-1,0,0,0,4,6,3,0,0,1,1
2018950000288,324000,674760,-3.21889,55.959814,95,3,2,2,06/03/2018,3,08:30:00,923,S12000036,6,0,6,30,6,4,4,900,0,5,1,2,2,0,0,1,2
2018950000289,322010,673140,-3.250286,55.944944,95,3,3,1,06/03/2018,3,08:20:00,923,S12000036,3,8,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1
2018950000292,329270,674280,-3.134375,55.956308,95,3,1,1,07/03/2018,4,08:00:00,923,S12000036,3,1140,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000293,319040,671330,-3.297281,55.928193,95,3,2,1,07/03/2018,4,09:40:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1
2018950000300,322840,675730,-3.237743,55.968342,95,3,1,1,08/03/2018,5,16:55:00,923,S12000036,6,0,6,30,1,2,5,0,0,5,1,1,2,0,0,1,1
2018950000303,322730,672640,-3.238618,55.940569,95,3,2,1,09/03/2018,6,08:55:00,923,S12000036,6,0,6,30,3,4,5,0,0,8,1,1,1,0,0,1,1
2018950000304,324300,673630,-3.213769,55.949712,95,2,1,1,09/03/2018,6,19:03:00,923,S12000036,6,0,6,20,6,4,6,0,0,0,4,1,1,0,0,1,1
2018950000307,323700,672730,-3.223119,55.941533,95,3,1,1,10/03/2018,7,12:35:00,923,S12000036,3,70,6,20,3,4,6,0,0,0,1,2,2,0,0,1,1
2018950000309,325045,673023,-3.201673,55.944376,95,3,1,1,10/03/2018,7,23:27:00,923,S12000036,5,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1
2018950000312,327900,671580,-3.155587,55.931851,95,2,1,1,11/03/2018,1,13:15:00,923,S12000036,4,6095,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1
2018950000313,315496,677149,-3.355808,55.97985,95,3,2,1,09/03/2018,6,08:50:00,923,S12000036,3,90,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1
2018950000314,329030,674260,-3.138212,55.956093,95,3,2,3,09/03/2018,6,14:55:00,923,S12000036,6,0,6,20,3,4,3,1140,0,8,1,1,1,0,0,1,1
2018950000316,328303,675945,-3.150301,55.971121,95,3,2,1,26/02/2018,2,16:20:00,923,S12000036,3,199,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1
2018950000323,326640,671360,-3.175689,55.929684,95,3,2,1,13/03/2018,3,19:00:00,923,S12000036,6,0,6,20,6,2,6,0,0,5,5,1,1,0,0,1,1
2018950000326,320790,675450,-3.270494,55.965492,95,3,3,1,15/03/2018,5,08:30:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2
2018950000328,319560,672640,-3.289353,55.940047,95,3,2,1,15/03/2018,5,12:45:00,923,S12000036,5,0,6,20,8,4,6,0,0,0,1,2,2,0,0,1,1
2018950000331,320010,670850,-3.281619,55.924044,95,3,2,1,15/03/2018,5,20:35:00,923,S12000036,3,71,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1
