name,country,parent,total,dems,repubs,year
Magnolia LNG (Glenfarne Group),Australia,LNG Limited,5000,0,5000,2020
Mallinckrodt Pharmaceuticals,UK,Mallinckrodt Plc,67500,18000,49500,2020
Marinette Marine,Italy,Fincantieri-Cantieri Navali Italiani SpA,24250,9000,15250,2020
Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,2500,0,2500,2020
Maxar Technologies (Maxar Technologies),Canada,Maxar Technologies,102500,40000,62500,2020
MBDA Inc,UK,MBDA,0,0,0,2020
Medtronic Inc,Ireland,Medtronic Plc,234500,137500,97000,2020
Messer North America,Germany,Messer Group,34500,14000,20500,2020
Mitsubishi Power,Japan,Mitsubishi Hitachi Power Systems,6000,0,6000,2020
Molson Coors Beverage Co (Molson Coors Brewing),Canada,Molson Coors Brewing,65500,21500,44000,2020
Mr Cooper Group (SoftBank Corp),Japan,SoftBank Corp,21600,7000,14600,2020
MUFG Americas,Japan,Mitsubishi UFJ Financial Group,0,0,0,2020
Munich American Reassurance,Germany,Munich Re Group,7500,5000,2500,2020
Mylan Inc,Netherlands,Mylan NV,241500,108500,133000,2020
Nammo Inc (Nammo AS),Norway,Nammo AS,1250,1250,0,2020
Nammo Talley Inc (Nammo AS),Norway,Nammo AS,6000,2250,3750,2020
National Grid USA (National Grid plc),UK,National Grid plc,38500,27500,11000,2020
Natixis Investment Managers,France,Groupe BPCE,4011,1000,3011,2020
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,44250,13500,30750,2020
Nomura Holding America,Japan,Nomura Holdings,99500,50000,49500,2020
NOVA Chemicals,United Arab Emirates,International Petroleum Investment Co,1200,0,1200,2020
Novartis Corp (Novartis AG),Switzerland,Novartis AG,266500,125500,141000,2020
Novo Nordisk,Denmark,Novo Nordisk A/S,339582,168927,170655,2020
Novocure Inc,UK,Novocure,60600,11000,49600,2020
Nutrien Ag Solutions,Canada,Nutrien Ltd,23000,7500,15500,2020
Orano USA (Orano Group),France,Orano Group,1500,0,1500,2020
Otsuka America (Otsuka Pharmaceutical),Japan,Otsuka Pharmaceutical,45750,27250,18500,2020
Ovintiv USA (Ovintiv Inc),Canada,EnCana Corp,40500,16000,24500,2020
Permobil Inc (Investor AB),Sweden,Investor AB,5000,0,5000,2020
Pernod Ricard USA,France,Pernod Ricard SA,11000,4500,6500,2020
Peter Pan Seafoods,Japan,Maruha Nichiro Holdings,2500,500,2000,2020
Pharmavite LLC (Otsuka Pharmaceutical),Japan,Otsuka Pharmaceutical,67000,38000,29000,2020
Philips Electronics North America (Philips),Netherlands,Philips Electronics,111000,59000,52000,2020
Protective Life Corp (Dai-Ichi Life),Japan,Dai-Ichi Life,169400,29000,140400,2020
Purpose Financial (Grupo Salinas),Mexico,Grupo Salinas,15000,1000,14000,2020
Putnam Investments (Power Financial Corp),Canada,Power Financial Corp,7388,0,7388,2020
RBC Bank (Royal Bank of Canada),Canada,Royal Bank of Canada,47500,31000,16500,2020
Recurrent Energy,Canada,Canadian Solar,5000,0,5000,2020
RELX Inc,UK,RELX Group,243000,109000,134000,2020
Resolute FP US,Canada,Resolute Forest Products,73500,14500,59000,2020
Reynolds American (British American Tobacco),UK,British American Tobacco plc,270460,53000,217460,2020
Rio Tinto America,UK,Rio Tinto Group,14000,8500,5500,2020
Roche Diagnostics (Roche Holdings),Switzerland,Roche Holdings,40000,12500,27500,2020
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce PLC,203000,71500,131500,2020
Sabic Innovative Plastics,Saudi Arabia,SABIC,2500,0,2500,2020
Safelite Group,Belgium,D'Ieteren SA,-500,0,-500,2020
Samsung Electronics America,South Korea,Samsung Group,260000,152000,108000,2020
Sanofi US (Sanofi),France,Sanofi,241000,91000,150000,2020
Santander Bank (Banco Santander),Spain,Banco Santander,102000,50000,52000,2020
SAP America,Germany,SAP Aktiengesellschaft,21000,14000,7000,2020
Securitas Security Services USA,Sweden,Securitas AB,0,0,0,2020
Serco Inc,UK,Serco Group,117500,63000,54500,2020
Shell Oil,Netherlands,Royal Dutch Shell,5000,1000,4000,2020
Shire Holdings US (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,-12500,-1500,-11000,2020
Siemens Corp,Germany,Siemens AG,113000,69500,43500,2020
Smith & Nephew,UK,Smith & Nephew Plc,89500,37000,52500,2020
Smithfield Foods,China,WH Group,80500,21000,59500,2020
