PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"Louis Dreyfus Co
                      
                    ",Netherlands/Louis Dreyfus Holding B.V.,"$3,000",$0,"$3,000"
"LSEG US
                      
                    ",UK/London Stock Exchange Group,"$26,500","$14,500","$12,000"
"Lundbeck Inc
                      
                    ",Denmark/H Lundbeck A/S,"$61,000","$28,500","$32,500"
"Maersk Inc
                       (AP Moller-Maersk)
                    ",Denmark/AP Møller-Mærsk,"$24,500","$15,500","$9,000"
"Magnolia LNG
                       (Glenfarne Group)
                    ",Australia/LNG Limited,"$5,000",$0,"$5,000"
"Mallinckrodt Pharmaceuticals
                      
                    ",UK/Mallinckrodt Plc,"$60,000","$15,500","$44,500"
"Marinette Marine
                      
                    ",Italy/Fincantieri-Cantieri Navali Italiani SpA,"$20,250","$7,000","$13,250"
"Massachusetts Financial Services
                       (Sun Life Financial)
                    ",Canada/Sun Life Financial Services,"$2,500",$0,"$2,500"
"Maxar Technologies
                       (Maxar Technologies)
                    ",Canada/Maxar Technologies,"$72,000","$24,500","$47,500"
"MBDA Inc
                      
                    ",UK/MBDA,$0,$0,$0
"Medtronic Inc
                      
                    ",Ireland/Medtronic Plc,"$171,500","$94,500","$77,000"
"Messer North America
                      
                    ",Germany/Messer Group,$0,$0,$0
"Mitsubishi Power
                      
                    ",Japan/Mitsubishi Hitachi Power Systems,"$6,000",$0,"$6,000"
"Molson Coors Beverage Co
                       (Molson Coors Brewing)
                    ",Canada/Molson Coors Brewing,"$46,500","$16,000","$30,500"
"Mr Cooper Group
                       (SoftBank Corp)
                    ",Japan/SoftBank Corp,"$17,600","$5,000","$12,600"
"MUFG Americas
                      
                    ",Japan/Mitsubishi UFJ Financial Group,$0,$0,$0
"Munich American Reassurance
                      
                    ",Germany/Munich Re Group,"$5,000","$5,000",$0
"Mylan Inc
                      
                    ",Netherlands/Mylan NV,"$138,500","$61,000","$77,500"
"Nammo Inc
                       (Nammo AS)
                    ",Norway/Nammo AS,$0,$0,$0
"Nammo Talley Inc
                       (Nammo AS)
                    ",Norway/Nammo AS,"$4,000","$1,500","$2,500"
"National Grid USA
                       (National Grid plc)
                    ",UK/National Grid plc,"$22,000","$16,500","$5,500"
"Natixis Investment Managers
                      
                    ",France/Groupe BPCE,"$4,011","$1,000","$3,011"
"Nestle Purina PetCare
                       (Nestle SA)
                    ",Switzerland/Nestle,"$44,250","$14,500","$29,750"
"Nomura Holding America
                      
                    ",Japan/Nomura Holdings,"$63,000","$41,500","$21,500"
"NOVA Chemicals
                      
                    ",United Arab Emirates/International Petroleum Investment Co,"$1,200",$0,"$1,200"
"Novartis Corp
                       (Novartis AG)
                    ",Switzerland/Novartis AG,"$192,000","$83,000","$109,000"
"Novo Nordisk
                      
                    ",Denmark/Novo Nordisk A/S,"$265,083","$130,427","$134,656"
"Novocure Inc
                      
                    ",UK/Novocure,"$47,800","$1,000","$46,800"
"Nutrien Ag Solutions
                      
                    ",Canada/Nutrien Ltd,"$10,000","$2,500","$7,500"
"Orano USA
                       (Orano Group)
                    ",France/Orano Group,"$1,500",$0,"$1,500"
"Otsuka America
                       (Otsuka Pharmaceutical)
                    ",Japan/Otsuka Pharmaceutical,"$23,000","$15,000","$8,000"
"Ovintiv USA
                       (Ovintiv Inc)
                    ",Canada/EnCana Corp,"$23,000","$6,000","$17,000"
"Permobil Inc
                       (Investor AB)
                    ",Sweden/Investor AB,"$5,000",$0,"$5,000"
"Pernod Ricard USA
                      
                    ",France/Pernod Ricard SA,"$7,500","$2,000","$5,500"
"Peter Pan Seafoods
                      
                    ",Japan/Maruha Nichiro Holdings,"$1,500",$0,"$1,500"
"Pharmavite LLC
                       (Otsuka Pharmaceutical)
                    ",Japan/Otsuka Pharmaceutical,"$42,000","$25,000","$17,000"
"Philips Electronics North America
                       (Philips)
                    ",Netherlands/Philips Electronics,"$94,500","$48,500","$46,000"
"Protective Life Corp
                       (Dai-Ichi Life)
                    ",Japan/Dai-Ichi Life,"$115,900","$17,000","$98,900"
"Purpose Financial
                       (Grupo Salinas)
                    ",Mexico/Grupo Salinas,"$15,000","$1,000","$14,000"
"Putnam Investments
                       (Power Financial Corp)
                    ",Canada/Power Financial Corp,"$7,388",$0,"$7,388"
"RBC Bank
                       (Royal Bank of Canada)
                    ",Canada/Royal Bank of Canada,"$25,500","$14,500","$11,000"
"Recurrent Energy
                      
                    ",Canada/Canadian Solar,"$5,000",$0,"$5,000"
"RELX Inc
                      
                    ",UK/RELX Group,"$198,000","$81,500","$116,500"
"Resolute FP US
                      
                    ",Canada/Resolute Forest Products,"$42,000","$10,000","$32,000"
"Reynolds American
                       (British American Tobacco)
                    ",UK/British American Tobacco plc,"$199,500","$43,500","$156,000"
"Rio Tinto America
                      
                    ",UK/Rio Tinto Group,"$4,500",$0,"$4,500"
"Roche Diagnostics
                       (Roche Holdings)
                    ",Switzerland/Roche Holdings,"$40,000","$12,500","$27,500"
"Rolls-Royce North America
                       (Rolls-Royce PLC)
                    ",UK/Rolls-Royce PLC,"$160,000","$53,500","$106,500"
"Sabic Innovative Plastics
                      
                    ",Saudi Arabia/SABIC,"$2,500",$0,"$2,500"
"Safelite Group
                      
                    ",Belgium/D'Ieteren SA,-$500,$0,-$500
"Samsung Electronics America
                      
                    ",South Korea/Samsung Group,"$166,500","$94,000","$72,500"
"Sanofi US
                       (Sanofi)
                    ",France/Sanofi,"$204,500","$88,500","$116,000"
"Santander Bank
                       (Banco Santander)
                    ",Spain/Banco Santander,"$80,500","$37,000","$43,500"
"SAP America
                      
                    ",Germany/SAP Aktiengesellschaft,"$21,000","$14,000","$7,000"
"Securitas Security Services USA
                      
                    ",Sweden/Securitas AB,$0,$0,$0
"Serco Inc
                      
                    ",UK/Serco Group,"$72,000","$43,500","$28,500"
"Shell Oil
                      
                    ",Netherlands/Royal Dutch Shell,"$4,000",$0,"$4,000"
"Shire Holdings US
                       (Takeda Pharmaceutical Co)
                    ",Japan/Takeda Pharmaceutical Co,"-$12,500","-$1,500","-$11,000"
"Siemens Corp
                      
                    ",Germany/Siemens AG,"$64,000","$37,500","$26,500"
"Smith & Nephew
                      
                    ",UK/Smith & Nephew Plc,"$74,500","$30,000","$44,500"
"Smithfield Foods
                      
                    ",China/WH Group,"$44,000","$11,500","$32,500"
"Smiths Group Services Corp
                       (Smiths Group)
                    ",UK/Smiths Group PLC,"$41,500","$17,500","$24,000"
"Sodexo Inc
                      
                    ",France/Sodexo,"$3,000",$0,"$3,000"
"Solvay America
                      
                    ",Belgium/Solvay SA,"$17,500","$5,000","$12,500"
"Sony Pictures Entertainment
                       (Sony Corp)
                    ",Japan/Sony Corp,"$83,500","$56,000","$27,500"
"SSAB Americas
                      
                    ",Sweden/SSAB AB,"$15,000","$2,000","$13,000"
"Standard Insurance Co
                      
                    ",Japan/Meiji Yasuda Life Insurance,"$2,000",$0,"$2,000"
"Steris Corp
                      
                    ",UK/Steris PLC,"$19,750","$6,500","$13,250"
"SUEZ Water
                      
                    ",France/SUEZ Environnement,"$4,000","$3,000","$1,000"
"Sun Life Financial
                       (Sun Life Financial)
                    ",Canada/Sun Life Financial,"$73,500","$38,000","$33,000"
"Sunovion Pharmaceuticals
                       (Sumitomo Chemical)
                    ",Japan/Sumitomo Chemical,"$66,000","$27,000","$39,000"
"Sunpower Corp
                      
                    ",France/Total SA,"$12,000","$12,000",$0
"Swedish Match North America
                       (Swedish Match AB)
                    ",Sweden/Swedish Match AB,"$1,000",$0,"$1,000"
"Swiss Re America
                      
                    ",Switzerland/Swiss Re,"$30,500","$17,500","$13,000"
"Syngenta Corp
                      
                    ",China/ChemChina,"$41,000","$17,000","$24,000"
"T-Mobile USA
                       (Deutsche Telekom)
                    ",Germany/Deutsche Telekom,"$167,000","$71,000","$96,000"
"T-Mobile USA
                       (Deutsche Telekom)
                    ",Germany/Deutsche Telekom AG,"$687,500","$371,500","$315,000"
"Takeda Pharmaceuticals USA
                       (Takeda Pharmaceutical Co)
                    ",Japan/Takeda Pharmaceutical Co,"$109,500","$46,500","$63,000"
"Tate & Lyle Americas
                       (Tate & Lyle)
                    ",UK/Tate & Lyle,"$12,750","$3,000","$9,750"
"TD Bank USA
                      
                    ",Canada/Toronto-Dominion Bank,"$80,200","$25,200","$55,000"
"TE Connectivity
                      
                    ",Switzerland/TE Connectivity,"$42,000","$19,500","$22,500"
"Teva Pharmaceuticals USA
                      
                    ",Israel/Teva Pharmaceutical Industries,"$40,500","$15,000","$25,500"
"Toyota Motor North America
                      
                    ",Japan/Toyota Motor Corp,"$778,500","$378,500","$400,000"
